Code,CropName
36,Alfalfa
75,Almonds
68,Apples
223,Apricots
92,Aquaculture
207,Asparagus
21,Barley
65,Barren
131,Barren
242,Blueberries
214,Broccoli
39,Buckwheat
243,Cabbage
38,Camelina
55,Caneberries
31,Canola
209,Cantaloupes
206,Carrots
244,Cauliflower
245,Celery
66,Cherries
51,ChickPeas
70,ChristmasTrees
72,Citrus
81,Clouds/NoData
58,Clover/Wildflowers
1,Corn
2,Cotton
250,Cranberries
50,Cucumbers
237,DblCropBarley/Corn
235,DblCropBarley/Sorghum
254,DblCropBarley/Soybeans
241,DblCropCorn/Soybeans
234,DblCropDurumWht/Sorghum
233,DblCropLettuce/Barley
231,DblCropLettuce/Cantaloupe
232,DblCropLettuce/Cotton
230,DblCropLettuce/DurumWht
226,DblCropOats/Corn
239,DblCropSoybeans/Cotton
240,DblCropSoybeans/Oats
225,DblCropWinWht/Corn
238,DblCropWinWht/Cotton
236,DblCropWinWht/Sorghum
26,DblCropWinWht/Soybeans
141,DeciduousForest
82,Developed
124,Developed/HighIntensity
122,Developed/LowIntensity
123,Developed/MedIntensity
121,Developed/OpenSpace
42,DryBeans
22,DurumWheat
248,Eggplants
142,EvergreenForest
61,Fallow/IdleCropland
32,Flaxseed
63,Forest
208,Garlic
249,Gourds
69,Grapes
176,Grassland/Pasture
219,Greens
195,HerbaceousWetlands
57,Herbs
213,HoneydewMelons
56,Hops
52,Lentils
227,Lettuce
29,Millet
14,Mint
47,MiscVegs&Fruits
143,MixedForest
35,Mustard
218,Nectarines
88,Nonag/Undefined
28,Oats
211,Olives
49,Onions
111,OpenWater
212,Oranges
44,OtherCrops
37,OtherHay/NonAlfalfa
25,OtherSmallGrains
71,OtherTreeCrops
67,Peaches
10,Peanuts
77,Pears
53,Peas
74,Pecans
216,Peppers
112,PerennialIce/Snow
204,Pistachios
220,Plums
217,Pomegranates
13,PoporOrnCorn
43,Potatoes
210,Prunes
229,Pumpkins
246,Radishes
34,RapeSeed
3,Rice
27,Rye
33,Safflower
64,Shrubland
152,Shrubland
59,Sod/GrassSeed
4,Sorghum
5,Soybeans
30,Speltz
23,SpringWheat
222,Squash
221,Strawberries
41,Sugarbeets
45,Sugarcane
6,Sunflower
12,SweetCorn
46,SweetPotatoes
60,Switchgrass
11,Tobacco
54,Tomatoes
205,Triticale
247,Turnips
224,Vetch
76,Walnuts
83,Water
48,Watermelons
87,Wetlands
24,WinterWheat
190,WoodyWetlands
